TITLE     = ""
VARIABLES = "cycle"
"plunge [mm]"
"pitch [deg]"
"lift [N]"
ZONE T="Run 0881"
 STRANDID=0, SOLUTIONTIME=0
 I=6144, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -9.279000163E-001 4.304389954E+001 1.293130016E+001 2.220833302E-001
 -9.273999929E-001 4.298109818E+001 1.300720024E+001 2.209375054E-001
 -9.269999862E-001 4.291429901E+001 1.309790039E+001 2.196874917E-001
 -9.265000224E-001 4.284859848E+001 1.318050003E+001 2.182291597E-001
 -9.259999990E-001 4.279000092E+001 1.324489975E+001 2.167708427E-001
 -9.254999757E-001 4.271730042E+001 1.334570026E+001 2.153124958E-001
 -9.250000119E-001 4.264989853E+001 1.342679977E+001 2.136458308E-001
 -9.244999886E-001 4.258689880E+001 1.349960041E+001 2.119791657E-001
 -9.240000248E-001 4.252750015E+001 1.357069969E+001 2.102083415E-001
 -9.235000014E-001 4.246649933E+001 1.365190029E+001 2.084375024E-001
 -9.230999947E-001 4.239189911E+001 1.374800014E+001 2.065625042E-001
 -9.225999713E-001 4.232820129E+001 1.382759953E+001 2.045833319E-001
 -9.221000075E-001 4.226490021E+001 1.390559959E+001 2.026041597E-001
 -9.215999842E-001 4.220579910E+001 1.398359966E+001 2.005208284E-001
 -9.211000204E-001 4.213959885E+001 1.406830025E+001 1.984375119E-001
 -9.205999970E-001 4.207139969E+001 1.415310001E+001 1.962500066E-001
 -9.200999737E-001 4.200320053E+001 1.424120045E+001 1.939583272E-001
 -9.196000099E-001 4.194400024E+001 1.431610012E+001 1.917708367E-001
 -9.190999866E-001 4.187939835E+001 1.439099979E+001 1.894791573E-001
 -9.186999798E-001 4.179999924E+001 1.448600006E+001 1.870833337E-001
 -9.182000160E-001 4.172880173E+001 1.456599998E+001 1.846875101E-001
 -9.176999927E-001 4.165599823E+001 1.464770031E+001 1.821874976E-001
 -9.171999693E-001 4.158380127E+001 1.472780037E+001 1.797916740E-001
 -9.167000055E-001 4.150830078E+001 1.480799961E+001 1.771875024E-001
 -9.161999822E-001 4.143330002E+001 1.488650036E+001 1.746874899E-001
 -9.157000184E-001 4.135570145E+001 1.496679974E+001 1.720833331E-001
 -9.151999950E-001 4.127859879E+001 1.504539967E+001 1.694791615E-001
